year,county,age,births,population,birth_rate
2010,Bryan,18-19 years,57.0,1420.0,40.1
2010,Bryan,20-24 years,238.0,3515.0,67.7
2010,Bryan,25-29 years,169.0,2836.0,59.6
2010,Bryan,30-34 years,90.0,2549.0,35.3
2010,Bryan,35-39 years,25.0,2475.0,10.1
2010,Bryan,40-44 years,0.0,2480.0,0.0
2010,Caddo,10-14 years,0.0,2036.0,0.0
2010,Caddo,15-17 years,24.0,1306.0,18.4
2010,Caddo,18-19 years,55.0,763.0,72.1
2010,Caddo,20-24 years,167.0,1748.0,95.5
2010,Caddo,25-29 years,127.0,2026.0,62.7
2010,Caddo,30-34 years,58.0,1877.0,30.9
2010,Caddo,35-39 years,22.0,1766.0,12.5
2010,Caddo,40-44 years,5.0,1837.0,2.7
2010,Canadian,15-17 years,38.0,5107.0,7.4
2010,Canadian,18-19 years,80.0,2733.0,29.3
2010,Canadian,20-24 years,381.0,6308.0,60.4
2010,Canadian,25-29 years,526.0,8176.0,64.3
2010,Canadian,30-34 years,404.0,8435.0,47.9
2010,Canadian,35-39 years,132.0,8443.0,15.6
2010,Canadian,40-44 years,15.0,7945.0,1.9
2010,Canadian,45-54 years,0.0,17005.0,0.0
2010,Carter,10-14 years,0.0,3465.0,0.0
2010,Carter,15-17 years,36.0,2036.0,17.7
2010,Carter,18-19 years,70.0,1137.0,61.6
2010,Carter,20-24 years,193.0,2531.0,76.3
2010,Carter,25-29 years,194.0,3024.0,64.2
2010,Carter,30-34 years,87.0,2990.0,29.1
2010,Carter,35-39 years,42.0,3035.0,13.8
2010,Carter,40-44 years,9.0,2854.0,3.2
2010,Cherokee,10-14 years,0.0,3188.0,0.0
2010,Cherokee,15-17 years,32.0,2028.0,15.8
2010,Cherokee,18-19 years,68.0,2052.0,33.1
2010,Cherokee,20-24 years,222.0,4532.0,49.0
2010,Cherokee,25-29 years,171.0,3150.0,54.3
2010,Cherokee,30-34 years,80.0,2737.0,29.2
2010,Cherokee,35-39 years,38.0,2635.0,14.4
2010,Cherokee,40-44 years,9.0,2623.0,3.4
2010,Cherokee,45-54 years,0.0,6150.0,0.0
2010,Choctaw,10-14 years,0.0,1024.0,0.0
2010,Choctaw,15-17 years,15.0,563.0,26.6
2010,Choctaw,18-19 years,26.0,359.0,72.4
2010,Choctaw,20-24 years,99.0,821.0,120.6
2010,Choctaw,25-29 years,45.0,816.0,55.1
2010,Choctaw,30-34 years,30.0,813.0,36.9
2010,Choctaw,35-39 years,12.0,812.0,14.8
2010,Choctaw,40-44 years,0.0,887.0,0.0
2010,Cimarron,15-17 years,0.0,100.0,0.0
2010,Cimarron,18-19 years,0.0,44.0,0.0
2010,Cimarron,20-24 years,14.0,99.0,141.4
2010,Cimarron,25-29 years,14.0,115.0,121.7
2010,Cimarron,30-34 years,0.0,97.0,0.0
2010,Cimarron,35-39 years,0.0,138.0,0.0
2010,Cimarron,40-44 years,0.0,122.0,0.0
2010,Cleveland,10-14 years,0.0,16152.0,0.0
2010,Cleveland,15-17 years,51.0,9392.0,5.4
2010,Cleveland,18-19 years,177.0,10068.0,17.6
2010,Cleveland,20-24 years,725.0,27205.0,26.6
2010,Cleveland,25-29 years,1026.0,21441.0,47.9
2010,Cleveland,30-34 years,699.0,18428.0,37.9
2010,Cleveland,35-39 years,249.0,16557.0,15.0
2010,Cleveland,40-44 years,38.0,15646.0,2.4
2010,Cleveland,45-54 years,0.0,34147.0,0.0
2010,Coal,15-17 years,0.0,268.0,0.0
2010,Coal,18-19 years,10.0,153.0,65.4
2010,Coal,20-24 years,25.0,271.0,92.3
2010,Coal,25-29 years,13.0,309.0,42.1
2010,Coal,30-34 years,12.0,334.0,35.9
2010,Coal,35-39 years,0.0,321.0,0.0
2010,Coal,40-44 years,0.0,319.0,0.0
2010,Comanche,10-14 years,0.0,8137.0,0.0
2010,Comanche,15-17 years,61.0,4957.0,12.3
2010,Comanche,18-19 years,153.0,4757.0,32.2
2010,Comanche,20-24 years,767.0,12277.0,62.5
2010,Comanche,25-29 years,679.0,11658.0,58.2
2010,Comanche,30-34 years,327.0,9282.0,35.2
2010,Comanche,35-39 years,116.0,7893.0,14.7
2010,Comanche,40-44 years,26.0,7475.0,3.5
2010,Comanche,45-54 years,0.0,16157.0,0.0
2010,Comanche,Unknown Age,0.0,0.0,0.0
2010,Cotton,15-17 years,0.0,281.0,0.0
2010,Cotton,18-19 years,10.0,168.0,59.5
2010,Cotton,20-24 years,20.0,295.0,67.8
2010,Cotton,25-29 years,25.0,335.0,74.6
2010,Cotton,30-34 years,8.0,332.0,24.1
2010,Cotton,35-39 years,0.0,359.0,0.0
2010,Craig,15-17 years,8.0,621.0,12.9
2010,Craig,18-19 years,22.0,368.0,59.8
2010,Craig,20-24 years,70.0,829.0,84.4
2010,Craig,25-29 years,42.0,806.0,52.1
2010,Craig,30-34 years,33.0,866.0,38.1
2010,Craig,35-39 years,11.0,857.0,12.8
2010,Craig,40-44 years,0.0,983.0,0.0
2010,Creek,15-17 years,36.0,3103.0,11.6
2010,Creek,18-19 years,87.0,1791.0,48.6
2010,Creek,20-24 years,301.0,3753.0,80.2
2010,Creek,25-29 years,269.0,3948.0,68.1
2010,Creek,30-34 years,146.0,3980.0,36.7
2010,Creek,35-39 years,60.0,4235.0,14.2
2010,Creek,40-44 years,14.0,4473.0,3.1
2010,Creek,45-54 years,0.0,10686.0,0.0
2010,Custer,15-17 years,18.0,1041.0,17.3
2010,Custer,18-19 years,37.0,1285.0,28.8
2010,Custer,20-24 years,162.0,3527.0,45.9
2010,Custer,25-29 years,115.0,2105.0,54.6
2010,Custer,30-34 years,64.0,1618.0,39.6
2010,Custer,35-39 years,23.0,1385.0,16.6
2010,Custer,40-44 years,6.0,1315.0,4.6
2010,Delaware,10-14 years,0.0,2660.0,0.0
2010,Delaware,15-17 years,20.0,1700.0,11.8
2010,Delaware,18-19 years,45.0,958.0,47.0
2010,Delaware,20-24 years,158.0,1967.0,80.3
2010,Delaware,25-29 years,106.0,1979.0,53.6
2010,Delaware,30-34 years,59.0,1937.0,30.5
2010,Delaware,35-39 years,18.0,2190.0,8.2
2010,Delaware,40-44 years,0.0,2343.0,0.0
2010,Dewey,15-17 years,0.0,220.0,0.0
2010,Dewey,18-19 years,7.0,92.0,76.1
2010,Dewey,20-24 years,16.0,173.0,92.5
2010,Dewey,25-29 years,19.0,254.0,74.8
2010,Dewey,30-34 years,0.0,272.0,0.0
2010,Dewey,35-39 years,6.0,232.0,25.9
2010,Dewey,40-44 years,0.0,298.0,0.0
2010,Ellis,15-17 years,0.0,178.0,0.0
2010,Ellis,18-19 years,8.0,73.0,109.6
2010,Ellis,20-24 years,12.0,138.0,87.0
2010,Ellis,25-29 years,14.0,210.0,66.7
2010,Ellis,30-34 years,12.0,253.0,47.4
2010,Ellis,35-39 years,0.0,239.0,0.0
2010,Garfield,10-14 years,0.0,3904.0,0.0
2010,Garfield,15-17 years,38.0,2264.0,16.8
2010,Garfield,18-19 years,77.0,1492.0,51.6
2010,Garfield,20-24 years,285.0,3983.0,71.6
2010,Garfield,25-29 years,293.0,4486.0,65.3
2010,Garfield,30-34 years,178.0,3865.0,46.1
2010,Garfield,35-39 years,61.0,3422.0,17.8
2010,Garfield,40-44 years,7.0,3375.0,2.1
2010,Garvin,15-17 years,16.0,1110.0,14.4
2010,Garvin,18-19 years,40.0,643.0,62.2
2010,Garvin,20-24 years,144.0,1480.0,97.3
2010,Garvin,25-29 years,94.0,1676.0,56.1
2010,Garvin,30-34 years,51.0,1578.0,32.3
2010,Garvin,35-39 years,19.0,1684.0,11.3
2010,Garvin,40-44 years,0.0,1664.0,0.0
2010,Grady,10-14 years,0.0,3755.0,0.0
2010,Grady,15-17 years,22.0,2202.0,10.0
2010,Grady,18-19 years,50.0,1405.0,35.6
2010,Grady,20-24 years,191.0,3124.0,61.1
2010,Grady,25-29 years,195.0,3232.0,60.3
2010,Grady,30-34 years,104.0,3197.0,32.5
2010,Grady,35-39 years,38.0,3248.0,11.7
2010,Grady,40-44 years,5.0,3325.0,1.5
2010,Grant,15-17 years,0.0,206.0,0.0
2010,Grant,18-19 years,0.0,105.0,0.0
2010,Grant,20-24 years,9.0,184.0,48.9
2010,Grant,25-29 years,19.0,200.0,95.0
2010,Grant,30-34 years,11.0,224.0,49.1
2010,Grant,35-39 years,0.0,224.0,0.0
2010,Grant,40-44 years,0.0,248.0,0.0
2010,Greer,15-17 years,0.0,208.0,0.0
2010,Greer,18-19 years,8.0,121.0,66.1
2010,Greer,20-24 years,29.0,398.0,72.9
2010,Greer,25-29 years,21.0,528.0,39.8
2010,Greer,30-34 years,0.0,437.0,0.0
2010,Greer,35-39 years,0.0,395.0,0.0
2010,Harmon,10-14 years,0.0,175.0,0.0
2010,Harmon,15-17 years,0.0,125.0,0.0
2010,Harmon,18-19 years,0.0,79.0,0.0
2010,Harmon,20-24 years,18.0,144.0,125.0
2010,Harmon,25-29 years,11.0,168.0,65.5
2010,Harmon,30-34 years,8.0,162.0,49.4
2010,Harmon,40-44 years,0.0,157.0,0.0
2010,Harper,15-17 years,0.0,153.0,0.0
2010,Harper,18-19 years,0.0,92.0,0.0
2010,Harper,20-24 years,16.0,148.0,108.1
2010,Harper,25-29 years,26.0,253.0,102.8
2010,Harper,30-34 years,9.0,228.0,39.5
2010,Harper,40-44 years,0.0,188.0,0.0
2010,Haskell,15-17 years,0.0,566.0,0.0
2010,Haskell,18-19 years,18.0,297.0,60.6
2010,Haskell,20-24 years,74.0,694.0,106.6
2010,Haskell,25-29 years,34.0,724.0,47.0
2010,Haskell,30-34 years,11.0,712.0,15.4
2010,Haskell,35-39 years,0.0,724.0,0.0
2010,Haskell,40-44 years,0.0,764.0,0.0
2010,Hughes,15-17 years,0.0,553.0,0.0
2010,Hughes,18-19 years,23.0,355.0,64.8
2010,Hughes,20-24 years,44.0,763.0,57.7
2010,Hughes,25-29 years,42.0,923.0,45.5
2010,Hughes,30-34 years,13.0,920.0,14.1
2010,Hughes,35-39 years,10.0,928.0,10.8
2010,Hughes,40-44 years,0.0,826.0,0.0
2010,Hughes,Unknown Age,0.0,0.0,0.0
2010,Jackson,10-14 years,0.0,1793.0,0.0
2010,Jackson,15-17 years,20.0,1160.0,17.2
2010,Jackson,18-19 years,46.0,788.0,58.4
2010,Jackson,20-24 years,143.0,2063.0,69.3
2010,Jackson,25-29 years,125.0,1887.0,66.2
2010,Jackson,30-34 years,77.0,1735.0,44.4
2010,Jackson,35-39 years,18.0,1617.0,11.1
2010,Jackson,40-44 years,10.0,1579.0,6.3
2010,Jefferson,10-14 years,0.0,433.0,0.0
2010,Jefferson,15-17 years,0.0,260.0,0.0
2010,Jefferson,18-19 years,0.0,151.0,0.0
2010,Jefferson,20-24 years,30.0,331.0,90.6
2010,Jefferson,25-29 years,17.0,315.0,54.0
2010,Jefferson,30-34 years,15.0,352.0,42.6
2010,Jefferson,35-39 years,0.0,354.0,0.0
2010,Jefferson,40-44 years,0.0,349.0,0.0
2010,Johnston,10-14 years,0.0,729.0,0.0
2010,Johnston,15-17 years,0.0,468.0,0.0
2010,Johnston,18-19 years,17.0,353.0,48.2
2010,Johnston,20-24 years,51.0,686.0,74.3
2010,Johnston,25-29 years,44.0,619.0,71.1
2010,Johnston,30-34 years,16.0,596.0,26.8
2010,Johnston,35-39 years,7.0,609.0,11.5
2010,Johnston,40-44 years,0.0,668.0,0.0
2010,Kay,15-17 years,36.0,1993.0,18.1
2010,Kay,18-19 years,81.0,1327.0,61.0
2010,Kay,20-24 years,221.0,2607.0,84.8
2010,Kay,25-29 years,158.0,2703.0,58.5
2010,Kay,30-34 years,102.0,2777.0,36.7
2010,Kay,35-39 years,33.0,2387.0,13.8
2010,Kay,40-44 years,8.0,2587.0,3.1
2010,Kingfisher,15-17 years,0.0,681.0,0.0
2010,Kingfisher,18-19 years,14.0,394.0,35.5
2010,Kingfisher,20-24 years,71.0,747.0,95.0
2010,Kingfisher,25-29 years,60.0,875.0,68.6
2010,Kingfisher,30-34 years,45.0,937.0,48.0
2010,Kingfisher,35-39 years,10.0,919.0,10.9
2010,Kingfisher,40-44 years,6.0,905.0,6.6
2010,Kiowa,10-14 years,0.0,648.0,0.0
2010,Kiowa,15-17 years,0.0,395.0,0.0
2010,Kiowa,18-19 years,12.0,224.0,53.6
2010,Kiowa,20-24 years,37.0,483.0,76.6
2010,Kiowa,25-29 years,31.0,511.0,60.7
2010,Kiowa,30-34 years,15.0,504.0,29.8
2010,Kiowa,35-39 years,0.0,521.0,0.0
2010,Kiowa,40-44 years,0.0,504.0,0.0
2010,Latimer,15-17 years,6.0,491.0,12.2
2010,Latimer,18-19 years,18.0,421.0,42.8
2010,Latimer,20-24 years,57.0,708.0,80.5
2010,Latimer,25-29 years,42.0,615.0,68.3
2010,Latimer,30-34 years,17.0,584.0,29.1
2010,Latimer,35-39 years,9.0,590.0,15.3
2010,Latimer,40-44 years,0.0,650.0,0.0
2010,Le Flore,10-14 years,0.0,3423.0,0.0
2010,Le Flore,15-17 years,39.0,2092.0,18.6
2010,Le Flore,18-19 years,69.0,1434.0,48.1
2010,Le Flore,20-24 years,259.0,3080.0,84.1
2010,Le Flore,25-29 years,182.0,3087.0,59.0
2010,Le Flore,30-34 years,93.0,3046.0,30.5
2010,Le Flore,35-39 years,30.0,3021.0,9.9
2010,Le Flore,40-44 years,9.0,3094.0,2.9
2010,Lincoln,15-17 years,15.0,1622.0,9.2
2010,Lincoln,18-19 years,39.0,842.0,46.3
2010,Lincoln,20-24 years,133.0,1734.0,76.7
2010,Lincoln,25-29 years,125.0,1807.0,69.2
2010,Lincoln,30-34 years,60.0,1847.0,32.5
2010,Lincoln,35-39 years,24.0,1984.0,12.1
2010,Lincoln,40-44 years,0.0,2189.0,0.0
2010,Lincoln,45-54 years,0.0,5353.0,0.0
2010,Logan,15-17 years,11.0,1806.0,6.1
2010,Logan,18-19 years,31.0,1812.0,17.1
2010,Logan,20-24 years,151.0,2751.0,54.9
2010,Logan,25-29 years,157.0,2453.0,64.0
2010,Logan,30-34 years,97.0,2424.0,40.0
2010,Logan,35-39 years,37.0,2605.0,14.2
2010,Logan,40-44 years,6.0,2541.0,2.4
2010,Love,15-17 years,5.0,383.0,13.1
2010,Love,18-19 years,7.0,193.0,36.3
2010,Love,20-24 years,46.0,485.0,94.8
2010,Love,25-29 years,47.0,566.0,83.0
2010,Love,30-34 years,20.0,507.0,39.4
2010,Love,35-39 years,7.0,567.0,12.3
2010,McClain,15-17 years,8.0,1564.0,5.1
2010,McClain,18-19 years,28.0,813.0,34.4
2010,McClain,20-24 years,120.0,1621.0,74.0
2010,McClain,25-29 years,156.0,2014.0,77.5
2010,McClain,30-34 years,81.0,2149.0,37.7
2010,McClain,35-39 years,38.0,2373.0,16.0
2010,McClain,40-44 years,13.0,2352.0,5.5
2010,McCurtain,10-14 years,0.0,2458.0,0.0
2010,McCurtain,15-17 years,26.0,1480.0,17.6
2010,McCurtain,18-19 years,70.0,895.0,78.2
2010,McCurtain,20-24 years,190.0,1835.0,103.5
2010,McCurtain,25-29 years,108.0,1870.0,57.8
2010,McCurtain,30-34 years,57.0,1884.0,30.3
2010,McCurtain,35-39 years,18.0,2038.0,8.8
2010,McCurtain,40-44 years,5.0,2047.0,2.4
2010,McIntosh,15-17 years,8.0,792.0,10.1
2010,McIntosh,18-19 years,26.0,428.0,60.7
2010,McIntosh,20-24 years,73.0,892.0,81.8
2010,McIntosh,25-29 years,58.0,1007.0,57.6
2010,McIntosh,30-34 years,37.0,909.0,40.7
2010,McIntosh,35-39 years,11.0,1027.0,10.7
2010,McIntosh,40-44 years,0.0,1113.0,0.0
2010,Major,15-17 years,7.0,291.0,24.1
2010,Major,18-19 years,0.0,163.0,0.0
2010,Major,20-24 years,26.0,362.0,71.8
2010,Major,25-29 years,31.0,404.0,76.7
2010,Major,30-34 years,16.0,407.0,39.3
2010,Major,35-39 years,8.0,378.0,21.2
2010,Marshall,15-17 years,12.0,658.0,18.2
2010,Marshall,18-19 years,20.0,332.0,60.2
2010,Marshall,20-24 years,56.0,769.0,72.8
2010,Marshall,25-29 years,52.0,802.0,64.8
2010,Marshall,30-34 years,21.0,814.0,25.8
2010,Marshall,35-39 years,10.0,835.0,12.0
2010,Marshall,40-44 years,0.0,902.0,0.0
2010,Marshall,45-54 years,0.0,2303.0,0.0
2010,Mayes,15-17 years,19.0,1884.0,10.1
2010,Mayes,18-19 years,67.0,1081.0,62.0
2010,Mayes,20-24 years,177.0,2168.0,81.6
2010,Mayes,25-29 years,141.0,2360.0,59.7
2010,Mayes,30-34 years,70.0,2369.0,29.5
2010,Mayes,35-39 years,24.0,2464.0,9.7
2010,Mayes,40-44 years,0.0,2491.0,0.0
2010,Murray,15-17 years,0.0,514.0,0.0
2010,Murray,18-19 years,27.0,314.0,86.0
2010,Murray,20-24 years,48.0,679.0,70.7
2010,Murray,25-29 years,52.0,795.0,65.4
2010,Murray,30-34 years,21.0,730.0,28.8
2010,Murray,35-39 years,10.0,824.0,12.1
2010,Murray,40-44 years,6.0,773.0,7.8
2010,Murray,45-54 years,0.0,1969.0,0.0
2010,Muskogee,10-14 years,0.0,4884.0,0.0
2010,Muskogee,15-17 years,35.0,2870.0,12.2
2010,Muskogee,18-19 years,111.0,2066.0,53.7
2010,Muskogee,20-24 years,349.0,4520.0,77.2
2010,Muskogee,25-29 years,274.0,4727.0,58.0
2010,Muskogee,30-34 years,139.0,4571.0,30.4
2010,Muskogee,35-39 years,42.0,4253.0,9.9
2010,Muskogee,40-44 years,13.0,4206.0,3.1
2010,Noble,15-17 years,8.0,438.0,18.3
2010,Noble,18-19 years,7.0,263.0,26.6
2010,Noble,20-24 years,53.0,538.0,98.5
2010,Noble,25-29 years,53.0,672.0,78.9
2010,Noble,30-34 years,22.0,647.0,34.0
2010,Noble,35-39 years,13.0,674.0,19.3
2010,Noble,40-44 years,0.0,764.0,0.0
2010,Nowata,15-17 years,0.0,481.0,0.0
2010,Nowata,18-19 years,12.0,256.0,46.9
2010,Nowata,20-24 years,41.0,515.0,79.6
2010,Nowata,25-29 years,43.0,549.0,78.3
2010,Nowata,30-34 years,14.0,577.0,24.3
2010,Nowata,35-39 years,8.0,570.0,14.0
2010,Okfuskee,15-17 years,13.0,518.0,25.1
2010,Okfuskee,18-19 years,15.0,292.0,51.4
2010,Okfuskee,20-24 years,73.0,646.0,113.0
2010,Okfuskee,25-29 years,61.0,727.0,83.9
2010,Okfuskee,30-34 years,24.0,761.0,31.5
2010,Okfuskee,35-39 years,9.0,751.0,12.0
2010,Okfuskee,40-44 years,0.0,785.0,0.0
2010,Oklahoma,10-14 years,38.0,47441.0,0.8
2010,Oklahoma,15-17 years,440.0,27697.0,15.9
2010,Oklahoma,18-19 years,940.0,19748.0,47.6
2010,Oklahoma,20-24 years,3398.0,54946.0,61.8
2010,Oklahoma,25-29 years,3587.0,59295.0,60.5
2010,Oklahoma,30-34 years,2527.0,50694.0,49.8
2010,Oklahoma,35-39 years,985.0,45772.0,21.5
2010,Oklahoma,40-44 years,221.0,43240.0,5.1
2010,Oklahoma,45-54 years,17.0,97799.0,0.2
2010,Oklahoma,Unknown Age,0.0,0.0,0.0
2010,Okmulgee,10-14 years,0.0,2736.0,0.0
2010,Okmulgee,15-17 years,40.0,1697.0,23.6
2010,Okmulgee,18-19 years,81.0,1328.0,61.0
2010,Okmulgee,20-24 years,154.0,2569.0,59.9
2010,Okmulgee,25-29 years,158.0,2376.0,66.5
2010,Okmulgee,30-34 years,66.0,2222.0,29.7
2010,Okmulgee,35-39 years,21.0,2259.0,9.3
2010,Okmulgee,40-44 years,9.0,2389.0,3.8
2010,Okmulgee,45-54 years,0.0,5658.0,0.0
2010,Osage,15-17 years,16.0,2036.0,7.9
2010,Osage,18-19 years,46.0,1164.0,39.5
2010,Osage,20-24 years,154.0,2317.0,66.5
2010,Osage,25-29 years,157.0,2586.0,60.7
2010,Osage,30-34 years,79.0,2665.0,29.6
2010,Osage,35-39 years,31.0,2630.0,11.8
2010,Osage,40-44 years,0.0,3005.0,0.0
2010,Ottawa,10-14 years,0.0,2252.0,0.0
2010,Ottawa,15-17 years,22.0,1307.0,16.8
2010,Ottawa,18-19 years,57.0,1147.0,49.7
2010,Ottawa,20-24 years,182.0,1973.0,92.2
2010,Ottawa,25-29 years,126.0,1791.0,70.4
2010,Ottawa,30-34 years,60.0,1790.0,33.5
2010,Ottawa,35-39 years,26.0,1827.0,14.2
2010,Ottawa,40-44 years,0.0,1860.0,0.0
2010,Pawnee,15-17 years,11.0,732.0,15.0
2010,Pawnee,18-19 years,19.0,417.0,45.6
2010,Pawnee,20-24 years,89.0,806.0,110.4
2010,Pawnee,25-29 years,58.0,858.0,67.6
2010,Pawnee,30-34 years,30.0,856.0,35.0
2010,Pawnee,35-39 years,15.0,992.0,15.1
2010,Pawnee,40-44 years,0.0,1076.0,0.0
2010,Payne,10-14 years,0.0,3781.0,0.0
2010,Payne,15-17 years,13.0,2222.0,5.9
2010,Payne,18-19 years,59.0,5393.0,10.9
2010,Payne,20-24 years,261.0,15465.0,16.9
2010,Payne,25-29 years,287.0,6624.0,43.3
2010,Payne,30-34 years,195.0,4597.0,42.4
2010,Payne,35-39 years,60.0,3787.0,15.8
2010,Payne,40-44 years,7.0,3534.0,2.0
2010,Payne,45-54 years,0.0,8304.0,0.0
2010,Pittsburg,10-14 years,0.0,2736.0,0.0
2010,Pittsburg,15-17 years,25.0,1742.0,14.4
2010,Pittsburg,18-19 years,67.0,1072.0,62.5
2010,Pittsburg,20-24 years,185.0,2614.0,70.8
2010,Pittsburg,25-29 years,157.0,2984.0,52.6
2010,Pittsburg,30-34 years,74.0,2788.0,26.5
2010,Pittsburg,35-39 years,21.0,2664.0,7.9
2010,Pittsburg,40-44 years,12.0,2762.0,4.3
2010,Pontotoc,10-14 years,0.0,2325.0,0.0
2010,Pontotoc,15-17 years,17.0,1415.0,12.0
2010,Pontotoc,18-19 years,53.0,1388.0,38.2
2010,Pontotoc,20-24 years,212.0,3471.0,61.1
2010,Pontotoc,25-29 years,175.0,2628.0,66.6
2010,Pontotoc,30-34 years,67.0,2234.0,30.0
2010,Pontotoc,35-39 years,27.0,2053.0,13.2
2010,Pontotoc,40-44 years,6.0,2096.0,2.9
2010,Pottawatomie,10-14 years,0.0,4914.0,0.0
2010,Pottawatomie,15-17 years,38.0,2908.0,13.1
2010,Pottawatomie,18-19 years,114.0,2250.0,50.7
2010,Pottawatomie,20-24 years,330.0,4858.0,67.9
2010,Pottawatomie,25-29 years,292.0,4375.0,66.7
2010,Pottawatomie,30-34 years,177.0,4258.0,41.6
2010,Pottawatomie,35-39 years,52.0,4348.0,12.0
2010,Pottawatomie,40-44 years,11.0,4167.0,2.6
2010,Pushmataha,10-14 years,0.0,718.0,0.0
2010,Pushmataha,15-17 years,7.0,457.0,15.3
2010,Pushmataha,18-19 years,11.0,304.0,36.2
2010,Pushmataha,20-24 years,52.0,574.0,90.6
2010,Pushmataha,25-29 years,28.0,570.0,49.1
2010,Pushmataha,30-34 years,13.0,579.0,22.5
2010,Pushmataha,35-39 years,0.0,580.0,0.0
2010,Pushmataha,40-44 years,0.0,696.0,0.0
2010,Roger Mills,15-17 years,0.0,143.0,0.0
2010,Roger Mills,18-19 years,7.0,75.0,93.3
2010,Roger Mills,20-24 years,15.0,165.0,90.9
2010,Roger Mills,25-29 years,21.0,233.0,90.1
2010,Roger Mills,30-34 years,9.0,202.0,44.6
2010,Roger Mills,35-39 years,0.0,181.0,0.0
2010,Roger Mills,40-44 years,0.0,193.0,0.0
2010,Rogers,15-17 years,24.0,4159.0,5.8
2010,Rogers,18-19 years,78.0,2443.0,31.9
2010,Rogers,20-24 years,273.0,5015.0,54.4
2010,Rogers,25-29 years,303.0,4957.0,61.1
2010,Rogers,30-34 years,196.0,4896.0,40.0
2010,Rogers,35-39 years,78.0,5572.0,14.0
2010,Rogers,40-44 years,13.0,5979.0,2.2
2010,Seminole,10-14 years,0.0,1926.0,0.0
2010,Seminole,15-17 years,13.0,1110.0,11.7
2010,Seminole,18-19 years,39.0,760.0,51.3
2010,Seminole,20-24 years,111.0,1434.0,77.4
2010,Seminole,25-29 years,85.0,1430.0,59.4
2010,Seminole,30-34 years,44.0,1425.0,30.9
2010,Seminole,35-39 years,19.0,1407.0,13.5
2010,Seminole,40-44 years,0.0,1531.0,0.0
2010,Sequoyah,10-14 years,0.0,3121.0,0.0
2010,Sequoyah,15-17 years,24.0,1965.0,12.2
2010,Sequoyah,18-19 years,63.0,1095.0,57.5
2010,Sequoyah,20-24 years,198.0,2296.0,86.2
2010,Sequoyah,25-29 years,153.0,2332.0,65.6
2010,Sequoyah,30-34 years,75.0,2405.0,31.2
2010,Sequoyah,35-39 years,27.0,2696.0,10.0
2010,Sequoyah,40-44 years,5.0,2827.0,1.8
2010,Stephens,15-17 years,11.0,1771.0,6.2
2010,Stephens,18-19 years,55.0,1073.0,51.3
2010,Stephens,20-24 years,192.0,2358.0,81.4
2010,Stephens,25-29 years,175.0,2677.0,65.4
2010,Stephens,30-34 years,91.0,2723.0,33.4
2010,Stephens,35-39 years,22.0,2563.0,8.6
